Designator,Comment,Layer,Footprint,Center-Y(mm),Center-X(mm),,,,,,X,Y,Rotation,Description
C40,0.01uF,BottomLayer,402,-50.292,65.913,-27.3,10.6,,-27.317,10.584,,,270,Ceramic Chip Capacitor - Standard
C39,0.01uF,BottomLayer,402,-14.986,9.652,,,,-62.623,66.845,,,360,Ceramic Chip Capacitor - Standard
C36,0.01uF,BottomLayer,402,-34.798,28.702,,,,-42.811,47.795,,,360,Ceramic Chip Capacitor - Standard
C6,0.01uF,BottomLayer,402,-37.465,68.326,,,,-40.144,8.171,,,270,Ceramic Chip Capacitor - Standard
C37,0.1uF,BottomLayer,402,-50.292,63.881,,,,-27.317,12.616,,,270,Ceramic Chip Capacitor - Standard
C33,0.1uF,BottomLayer,402,-17.018,9.652,,,,-60.591,66.845,,,360,Ceramic Chip Capacitor - Standard
C30,0.1uF,BottomLayer,402,-36.703,28.702,,,,-40.906,47.795,,,360,Ceramic Chip Capacitor - Standard
C2,0.1uF,BottomLayer,402,-37.719,66.421,,,,-39.89,10.076,,,270,Ceramic Chip Capacitor - Standard
C35,10uF,BottomLayer,Tant0805,-50.419,62.357,,,,-27.19,14.14,,,90,
C31,10uF,BottomLayer,Tant0805,-18.542,9.652,,,,-59.067,66.845,,,180,
C29,10uF,BottomLayer,Tant0805,-38.481,28.702,,,,-39.128,47.795,,,180,
C1,10uF,BottomLayer,Tant0805,-37.846,64.77,,,,-39.763,11.727,,,90,
C38,1uF,BottomLayer,402,-42.799,64.008,,,,-34.81,12.489,,,90,Ceramic Chip Capacitor - Standard
C34,1uF,BottomLayer,402,-16.764,3.175,,,,-60.845,73.322,,,90,Ceramic Chip Capacitor - Standard
C32,1uF,BottomLayer,402,-36.322,22.479,,,,-41.287,54.018,,,90,Ceramic Chip Capacitor - Standard
C4,1uF,BottomLayer,402,-31.242,66.421,,,,-46.367,10.076,,,360,Ceramic Chip Capacitor - Standard
P24,CoinCellHolder,BottomLayer,CoinCellHolder,-36.785,9.652,,,,,,,,90,
U10,DS3231,BottomLayer,DS3231,-4.318,10.4,,,,,,,,360,
U9,LP3985IM5-3.3,BottomLayer,MF05A_N,-46.609,64.897,-31,11.6,,-77.609,76.497,,,270,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U8,LP3985IM5-3.3,BottomLayer,MF05A_N,-16.002,6.096,-61.8,70.2,,-77.802,76.296,,,360,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U7,LP3985IM5-3.3,BottomLayer,MF05A_N,-35.687,25.273,,,,,,,,360,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
U1,LP3985IM5-3.3,BottomLayer,MF05A_N,-34.036,67.31,,,,,,,,270,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
,Header 2,TopLayer,HDR1X2,-63.881,16.891,,,,,,,,180,"Header, 2-Pin"
,Header 2,TopLayer,HDR1X2,-61.595,23.368,,,,,,,,180,"Header, 2-Pin"
,HYDROPHONE_MON,TopLayer,HDR1X3,-58.674,31.369,,,,,,,,180,"Header, 3-Pin"
CAL,MJ1-3510-SMT,TopLayer,CUI_MJ1-3510-SMT,-78.197,8.643,,,,,,,,0,"3.5 mm, Mono, Right Angle, Surface Mount (SMT), Audio Jack Connector"
R10,10k,TopLayer,3-0603,-24.765,17.907,,,,,,,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R9,10k,TopLayer,3-0603,-29.718,18.288,,,,,,,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R8,10k,TopLayer,3-0603,-11.303,9.525,,,,,,,,180,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R7,0X,TopLayer,3-0603,-57.023,15.367,,,,,,,,360,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
P25,Header 2,TopLayer,HDR1X2,-9.652,47.752,,,,,,,,180,"Header, 2-Pin"
P19,microUSB,TopLayer,microUSB-B,-7.661,69.444,,,,,,,,90,
